Wave[nm],Effic[%]
700.0,39.1636663493
710.0,41.0296495057
720.0,42.9632919637
730.0,44.9217713344
740.0,46.8805485631
750.0,48.8393257917
760.0,50.6968813702
770.0,52.4197305686
780.0,53.7826737124
790.0,55.3783084871
800.0,57.0924663545
810.0,58.2852422742
820.0,59.5673808696
830.0,60.921129097
840.0,61.9432026756
850.0,62.9657442623
860.0,63.99128
870.0,65.0805107692
880.0,65.3650502406
890.0,65.883229011
900.0,67.1896026374
910.0,67.0997452963
920.0,67.0064
930.0,67.0064
940.0,67.2985575874
950.0,67.9726125042
960.0,69.3356349047
970.0,69.1421691172
980.0,68.9906593914
990.0,69.7036359566
1000.0,69.1816358209
1010.0,69.7095710164
1020.0,70.1935601926
1030.0,69.7030304976
1040.0,68.9840906581
1050.0,68.41671
1060.0,69.39671
1070.0,69.3142933333
1080.0,68.520329002
1090.0,68.3493979906
1100.0,68.1784669792
1110.0,68.0075359678
1120.0,67.8366049565
1130.0,67.6656739451
1140.0,67.4947429337
1150.0,67.3238119223
1160.0,67.1528809109
1170.0,66.9819498995
1180.0,66.8110188881
1190.0,66.6400878768
1200.0,66.4691568654
1210.0,66.298225854
1220.0,66.1272948426
1230.0,65.9563638312
1240.0,65.7854328198
1250.0,65.6145018084
1260.0,65.4435707971
1270.0,65.2726397857
1280.0,65.1017087743
1290.0,64.9307777629
1300.0,64.7598467515
1310.0,64.5889157401
1320.0,64.4179847287
1330.0,64.2470537173
1340.0,64.076122706
1350.0,63.9051916946
1360.0,63.7342606832
1370.0,63.5633296718
1380.0,63.3923986604
1390.0,63.221467649
1400.0,63.0505366376
1410.0,62.8796056263
1420.0,62.7086746149
1430.0,62.5377436035
1440.0,62.3668125921
1450.0,62.1958815807
1460.0,62.0249505693
1470.0,61.8540195579
1480.0,61.6830885465
1490.0,61.5121575352
1500.0,61.3412265238
1510.0,61.1702955124
1520.0,60.999364501
1530.0,60.8284334896
1540.0,60.6575024782
